"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2017","322.000","312.630","328.400","311.920","","3.29%"
"05/01/2017","311.730","315.630","319.185","309.405","","-0.92%"
"04/01/2017","314.610","313.425","315.335","309.695","","0.30%"
"03/01/2017","313.670","312.710","319.455","312.505","","0.27%"
"02/01/2017","312.810","323.380","325.695","310.705","","-3.25%"
"01/01/2017","323.320","333.480","335.360","322.795","","-3.10%"
"12/01/2016","333.650","336.135","338.820","327.850","","-1.77%"
"11/01/2016","339.670","335.560","345.530","333.435","","1.24%"
"10/01/2016","335.500","336.000","336.230","329.180","","-0.10%"
"09/01/2016","335.820","340.400","342.785","333.955","","-1.28%"
"08/01/2016","340.160","352.620","355.435","336.885","","-3.46%"
"07/01/2016","352.360","339.045","355.835","336.065","","3.92%"
"06/01/2016","339.060","336.200","343.050","329.105","","0.80%"
"05/01/2016","336.360","327.350","337.635","327.110","","2.75%"
"04/01/2016","327.360","345.030","346.585","326.800","","-5.13%"
"03/01/2016","345.060","348.300","349.745","338.750","","-1.13%"
"02/01/2016","349.000","378.100","378.300","347.700","","-4.25%"
"01/01/2016","364.500","341.010","392.500","340.000","","7.05%"
"12/01/2015","340.500","307.660","350.025","306.040","","10.73%"
"11/01/2015","307.510","279.750","312.250","279.750","","9.83%"
"10/01/2015","280.000","271.100","280.750","270.750","","2.97%"
"09/01/2015","271.930","235.800","300.350","235.000","","13.61%"
"08/01/2015","239.350","187.450","257.165","187.125","","27.29%"
"07/01/2015","188.030","186.220","188.115","186.080","","0.98%"
"06/01/2015","186.200","185.950","186.385","185.010","","0.20%"
"05/01/2015","185.820","186.050","186.250","185.370","","-0.04%"
"04/01/2015","185.900","185.700","186.450","185.300","","0.06%"
"03/01/2015","185.780","185.300","186.015","184.850","","0.40%"
"02/01/2015","185.040","184.450","185.825","184.440","","0.35%"
"01/01/2015","184.400","182.865","184.665","182.350","","0.90%"
"12/01/2014","182.750","180.900","183.840","180.815","","0.68%"
"11/01/2014","181.520","181.150","182.025","180.845","","0.28%"
"10/01/2014","181.020","181.900","182.835","180.515","","-0.49%"
"09/01/2014","181.910","181.990","182.175","181.705","","-0.08%"
"08/01/2014","182.050","183.090","183.555","181.665","","-0.73%"
"07/01/2014","183.380","183.500","183.875","182.925","","0.03%"
"06/01/2014","183.320","183.530","184.360","183.225","","-0.01%"
"05/01/2014","183.330","182.075","185.070","181.050","","0.71%"
"04/01/2014","182.030","182.020","183.460","180.990","","0.08%"
"03/01/2014","181.880","184.350","184.960","181.325","","-1.37%"
"02/01/2014","184.400","155.510","187.505","155.440","","18.62%"
"01/01/2014","155.460","154.200","155.690","154.185","","0.75%"
"12/01/2013","154.300","154.290","154.605","153.580","","0.05%"
"11/01/2013","154.220","154.300","154.420","152.385","","0.01%"
"10/01/2013","154.200","153.770","154.420","153.435","","0.26%"
"09/01/2013","153.800","153.250","153.880","152.910","","0.37%"
"08/01/2013","153.230","153.520","153.880","152.150","","-0.20%"
"07/01/2013","153.540","151.795","153.580","151.785","","1.17%"
"06/01/2013","151.770","151.220","151.810","151.170","","0.26%"
"05/01/2013","151.370","151.200","151.475","150.695","","0.07%"
"04/01/2013","151.260","150.930","151.310","150.660","","0.24%"
"03/01/2013","150.900","150.425","151.000","150.425","","0.33%"
"02/01/2013","150.410","150.920","150.930","150.180","","-0.30%"
"01/01/2013","150.860","150.410","151.055","150.250","","0.35%"
"12/01/2012","150.330","150.500","150.855","150.135","","-0.16%"
"11/01/2012","150.570","150.795","150.920","149.980","","-0.14%"
"10/01/2012","150.780","149.895","150.815","149.835","","0.61%"
"09/01/2012","149.870","149.545","150.160","149.265","","0.20%"
"08/01/2012","149.570","150.005","150.325","148.800","","-0.24%"
"07/01/2012","149.930","149.350","150.115","149.285","","0.32%"
"06/01/2012","149.450","147.950","149.495","147.950","","1.03%"
"05/01/2012","147.930","147.950","148.130","147.585","","0.14%"
"04/01/2012","147.720","147.925","148.365","147.450","","-0.12%"
"03/01/2012","147.900","147.660","148.250","147.475","","0.14%"
"02/01/2012","147.690","148.550","148.745","147.540","","-0.65%"
"01/01/2012","148.660","148.450","148.705","148.020","","0.13%"
"12/01/2011","148.460","147.700","148.485","147.535","","0.51%"
"11/01/2011","147.700","147.850","148.260","147.145","","-0.17%"
"10/01/2011","147.950","148.050","148.485","147.495","","-0.10%"
"09/01/2011","148.100","146.680","148.175","146.580","","0.97%"
"08/01/2011","146.670","146.450","147.325","146.015","","0.21%"
"07/01/2011","146.360","145.880","146.560","145.280","","0.35%"
"06/01/2011","145.850","145.430","146.435","145.290","","0.32%"
"05/01/2011","145.380","145.740","145.975","145.135","","-0.29%"
"04/01/2011","145.800","145.590","145.890","145.235","","0.15%"
"03/01/2011","145.580","145.960","146.405","145.405","","-0.24%"
"02/01/2011","145.930","146.950","147.260","145.960","","-0.68%"
"01/01/2011","146.930","147.470","147.650","146.765","","-0.28%"
"12/01/2010","147.340","147.440","147.745","147.100","","-0.18%"
"11/01/2010","147.600","147.470","148.165","147.260","","0.04%"
"10/01/2010","147.540","147.650","148.180","147.300","","-0.07%"
"09/01/2010","147.650","147.350","147.715","147.135","","0.26%"
"08/01/2010","147.270","147.700","147.815","147.065","","-0.28%"
"07/01/2010","147.680","147.300","147.800","146.525","","0.22%"
"06/01/2010","147.350","146.800","147.845","146.335","","0.42%"
"05/01/2010","146.730","146.960","147.120","146.240","","0.20%"
"04/01/2010","146.440","147.030","148.030","146.420","","-0.41%"
"03/01/2010","147.040","147.350","147.460","146.850","","-0.19%"
"02/01/2010","147.325","148.025","148.235","147.115","","-0.48%"
"01/01/2010","148.030","148.490","148.850","147.850","","-0.33%"
"12/01/2009","148.520","148.750","150.000","148.280","","-0.11%"
"11/01/2009","148.685","150.695","150.935","148.635","","-1.38%"
"10/01/2009","150.770","151.010","151.050","150.060","","-0.11%"
"09/01/2009","150.940","150.820","150.990","150.670","","0.07%"
"08/01/2009","150.830","150.690","150.930","150.650","","0.05%"
"07/01/2009","150.755","150.395","150.945","150.245","","0.22%"
"06/01/2009","150.430","150.490","150.590","149.340","","-0.06%"
"05/01/2009","150.515","150.665","150.955","149.775","","-0.14%"
"04/01/2009","150.720","150.910","151.220","150.100","","-0.12%"
"03/01/2009","150.905","150.605","151.625","150.045","","0.24%"
"02/01/2009","150.550","122.030","150.670","122.010","","23.54%"
"01/01/2009","121.865","120.875","122.345","120.025","","0.61%"
"12/01/2008","121.125","120.545","121.175","119.385","","0.58%"
"11/01/2008","120.425","119.835","120.435","119.825","","0.41%"
"10/01/2008","119.930","119.900","120.100","119.740","","0.04%"
"09/01/2008","119.885","119.635","120.495","119.415","","0.16%"
"08/01/2008","119.690","120.160","120.230","119.550","","-0.41%"
"07/01/2008","120.180","120.740","120.760","119.990","","-0.45%"
"06/01/2008","120.720","120.560","120.850","120.460","","0.11%"
"05/01/2008","120.590","120.420","120.760","120.390","","0.14%"
"04/01/2008","120.420","120.650","120.680","120.220","","-0.22%"
"03/01/2008","120.690","120.720","120.840","120.300","","-0.01%"
"02/01/2008","120.700","120.190","120.930","120.040","","0.40%"
"01/01/2008","120.225","120.690","121.535","119.980","","-0.41%"
"12/01/2007","120.720","120.820","121.140","120.500","","-0.11%"
"11/01/2007","120.855","120.920","121.035","120.250","","-0.08%"
"10/01/2007","120.950","121.820","121.830","120.560","","0.00%"
"09/01/2007","120.950","125.030","125.130","120.930","","-4.30%"
"08/01/2007","126.385","123.440","126.435","123.240","","2.28%"
"07/01/2007","123.570","122.060","123.840","121.130","","1.22%"
"06/01/2007","122.080","122.300","123.280","120.600","","-0.22%"
"05/01/2007","122.350","120.160","122.580","118.700","","1.82%"
"04/01/2007","120.160","123.770","123.820","119.610","","-2.94%"
"03/01/2007","123.805","124.600","125.515","123.140","","-0.69%"
"02/01/2007","124.660","126.040","126.170","123.300","","-1.12%"
"01/01/2007","126.075","126.800","126.935","124.740","","-0.67%"
"12/01/2006","126.925","127.930","128.025","126.680","","-0.80%"
"11/01/2006","127.945","127.790","128.025","127.460","","0.10%"
"10/01/2006","127.820","127.170","127.900","126.640","","0.55%"
"09/01/2006","127.120","125.360","127.240","125.120","","1.36%"
"08/01/2006","125.410","118.300","125.500","118.290","","5.97%"
"07/01/2006","118.340","118.390","118.630","116.770","","-0.09%"
"06/01/2006","118.445","121.100","121.355","118.160","","-2.27%"
"05/01/2006","121.200","124.140","124.480","120.780","","-2.47%"
"04/01/2006","124.275","128.300","129.105","122.360","","-3.21%"
"03/01/2006","128.395","130.230","130.255","127.300","","-1.47%"
"02/01/2006","130.305","131.870","132.715","129.980","","-1.21%"
"01/01/2006","131.900","133.680","133.850","131.870","","-1.33%"
"12/01/2005","133.675","134.060","134.185","133.300","","-0.31%"
"11/01/2005","134.090","133.930","134.510","133.610","","0.08%"
"10/01/2005","133.985","133.690","134.275","133.430","","0.22%"
"09/01/2005","133.690","135.270","135.770","133.600","","-1.18%"
"08/01/2005","135.285","135.880","136.005","134.970","","-0.48%"
"07/01/2005","135.940","134.920","136.220","134.920","","0.67%"
"06/01/2005","135.035","131.720","136.445","131.020","","2.39%"
"05/01/2005","131.885","131.490","132.795","129.970","","0.28%"
"04/01/2005","131.520","132.450","132.550","130.330","","-0.80%"
"03/01/2005","132.575","130.090","132.705","129.800","","1.89%"
"02/01/2005","130.120","129.970","130.730","129.710","","0.06%"
"01/01/2005","130.040","129.960","131.010","129.000","","0.06%"
"12/01/2004","129.960","129.960","130.480","129.600","","-0.06%"
"11/01/2004","130.035","131.900","131.935","129.770","","-1.50%"
"10/01/2004","132.020","134.330","135.890","131.860","","-1.77%"
"09/01/2004","134.395","136.010","136.865","134.200","","-1.37%"
"08/01/2004","136.255","136.390","136.685","134.960","","-0.11%"
"07/01/2004","136.410","135.730","136.520","134.980","","0.41%"
"06/01/2004","135.850","136.840","139.240","135.800","","-0.75%"
"05/01/2004","136.870","138.150","138.940","133.360","","-0.97%"
"04/01/2004","138.215","139.040","139.095","137.240","","-0.53%"
"03/01/2004","138.950","139.020","139.970","138.300","","-0.04%"
"02/01/2004","139.010","139.490","140.020","137.990","","-0.39%"
"01/01/2004","139.555","143.210","143.565","139.150","","-2.59%"
"12/01/2003","143.270","146.600","146.980","143.120","","-2.29%"
"11/01/2003","146.635","147.540","148.055","146.000","","-0.94%"
"10/01/2003","148.030","148.830","148.910","146.180","","-0.56%"
"09/01/2003","148.860","147.450","149.230","147.160","","0.91%"
"08/01/2003","147.520","146.690","147.560","145.840","","0.53%"
"07/01/2003","146.740","147.530","147.930","146.200","","-0.54%"
"06/01/2003","147.535","150.270","151.445","147.470","","-1.90%"
"05/01/2003","150.385","151.650","152.335","150.000","","-0.92%"
"04/01/2003","151.780","151.880","152.430","151.000","","-0.09%"
"03/01/2003","151.910","151.550","152.560","150.000","","0.20%"
"02/01/2003","151.600","154.850","155.220","151.560","","-2.13%"
"01/01/2003","154.905","155.870","156.015","154.760","","-0.61%"
"12/01/2002","155.850","154.900","156.610","154.060","","0.54%"
"11/01/2002","155.010","154.420","155.010","154.000","","0.37%"
"10/01/2002","154.435","154.600","154.625","154.000","","-0.15%"
"09/01/2002","154.660","154.500","154.850","154.000","","0.09%"
"08/01/2002","154.525","154.170","154.695","154.150","","0.18%"
"07/01/2002","154.250","153.230","154.800","153.230","","0.64%"
"06/01/2002","153.265","153.150","153.535","152.430","","0.04%"
"05/01/2002","153.200","152.960","153.980","152.000","","0.15%"
"04/01/2002","152.975","152.350","153.065","152.000","","0.34%"
"03/01/2002","152.450","152.140","152.500","152.080","","0.18%"
"02/01/2002","152.170","151.990","153.030","151.030","","0.11%"
"01/01/2002","152.010","151.050","152.020","150.500","","0.74%"
"12/01/2001","150.900","149.200","151.060","148.900","","1.24%"
"11/01/2001","149.050","148.180","149.120","148.000","","0.58%"
"10/01/2001","148.185","147.860","149.015","147.000","","0.25%"
"09/01/2001","147.820","147.310","148.050","147.230","","0.34%"
"08/01/2001","147.320","147.090","148.000","146.530","","0.15%"
"07/01/2001","147.100","146.800","147.170","146.000","","0.20%"
"06/01/2001","146.800","146.440","146.980","146.300","","0.24%"
"05/01/2001","146.450","145.770","146.520","145.010","","0.45%"
"04/01/2001","145.800","145.420","145.900","145.350","","0.24%"
"03/01/2001","145.450","145.260","145.660","145.260","","0.12%"
"02/01/2001","145.275","145.070","145.575","145.000","","0.12%"
"01/01/2001","145.100","145.350","145.770","144.010","","-0.31%"
"12/01/2000","145.555","144.050","145.655","144.000","","1.01%"
"11/01/2000","144.100","142.570","144.300","142.060","","1.07%"
"10/01/2000","142.580","142.540","142.760","142.250","","0.02%"
"09/01/2000","142.555","142.480","143.025","142.470","","0.04%"
"08/01/2000","142.500","142.610","142.970","142.350","","-0.09%"
"07/01/2000","142.635","143.020","143.115","142.000","","-0.22%"
"06/01/2000","142.950","142.350","143.200","142.200","","0.39%"
"05/01/2000","142.400","142.000","142.800","141.000","","0.27%"
"04/01/2000","142.020","142.040","142.950","141.000","","-0.04%"
"03/01/2000","142.080","140.600","142.220","140.000","","1.12%"
"02/01/2000","140.500","139.310","141.120","138.250","","0.73%"
